Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.223-192.168.1.233-22-37950-6,192.168.1.233,37950,192.168.1.223,22,6,01/08/2025 01:13:56 PM,64755,19,1,83816.0,9.0,10136.0,1448.0,4411.368421052633,3330.126794558468,9.0,9.0,9.0,0.0,1294494.6336190256,308.85645896069803,3408.157894736842,7072.630323713125,30391.0,90.0,64562.0,3586.7777777777783,7233.444639967677,30391.0,90.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,608,32,293.4136360126631,15.442822948034902,9.0,10136.0,3992.0952380952376,3425.532847671467,11734275.29047619,0,0,0,1,1,0,0,0,0.0,4191.7,4411.368421052632,9.0,0,0,0,0,0,0,19,83816,1,9,-1,502,19,0,0,0,0,0,0,0,0,0,DDoS
192.168.1.223-192.168.1.233-22-37934-6,192.168.1.233,37934,192.168.1.223,22,6,01/08/2025 01:13:56 PM,142046,37,1,92304.0,9.0,2896.0,1448.0,2494.702702702703,648.5882474380142,9.0,9.0,9.0,0.0,649881.0244568661,267.5189727271447,3839.081081081081,9696.899539939954,45840.0,11.0,141687.0,3935.749999999999,9816.35312665263,45840.0,11.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1184,32,260.47899976064093,7.039972966503808,9.0,2896.0,2367.230769230769,840.8598813601297,707045.3400809715,0,0,0,1,1,0,0,0,0.0,2429.5263157894738,2494.7027027027025,9.0,0,0,0,0,0,0,37,92304,1,9,-1,502,37,0,0,0,0,0,0,0,0,0,DDoS
192.168.1.223-192.168.1.233-22-38038-6,192.168.1.233,38038,192.168.1.223,22,6,01/08/2025 01:13:56 PM,71997,29,1,70952.0,9.0,2896.0,1448.0,2446.620689655172,681.7525951437381,9.0,9.0,9.0,0.0,985610.5115490922,416.6840285011875,2482.655172413792,6159.320470844295,25906.0,7.0,71720.0,2561.428571428571,6257.451086969846,25906.0,7.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,928,32,402.79456088448126,13.88946761670625,9.0,2896.0,2289.354838709677,896.8705796039579,804376.8365591395,0,0,0,1,1,0,0,0,0.0,2365.6666666666665,2446.620689655173,9.0,0,0,0,0,0,0,29,70952,1,9,-1,502,29,0,0,0,0,0,0,0,0,0,DDoS
192.168.1.223-192.168.1.233-22-38072-6,192.168.1.233,38072,192.168.1.223,22,6,01/08/2025 01:13:56 PM,110444,34,1,83376.0,9.0,2896.0,1448.0,2452.235294117647,666.087220552417,9.0,9.0,9.0,0.0,754998.0080402738,316.90268371301295,3248.3529411764694,7492.020591157263,32147.0,9.0,110230.0,3340.30303030303,7588.675746980037,32147.0,9.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1088,32,307.8483213212125,9.05436239180037,9.0,2896.0,2316.499999999999,860.5100314846507,740477.5142857145,0,0,0,1,1,0,0,0,0.0,2382.6857142857143,2452.235294117647,9.0,0,0,0,0,0,0,34,83376,1,9,-1,502,34,0,0,0,0,0,0,0,0,0,DDoS
192.168.1.223-192.168.1.233-22-38114-6,192.168.1.233,38114,192.168.1.223,22,6,01/08/2025 01:13:57 PM,111298,23,1,56472.0,9.0,2896.0,1448.0,2455.304347826087,681.2434109628049,9.0,9.0,9.0,0.0,507475.4263329081,215.63729806465523,4839.04347826087,13985.943805635265,61307.0,3.0,110554.0,5025.181818181818,14285.880650676316,61307.0,3.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,736,32,206.65241064529465,8.984887419360636,9.0,2896.0,2259.6,940.3311030341032,884222.5833333335,0,0,0,1,1,0,0,0,0.0,2353.75,2455.304347826087,9.0,0,0,0,0,0,0,23,56472,1,9,-1,502,23,0,0,0,0,0,0,0,0,0,DDoS
192.168.1.223-192.168.1.233-22-38164-6,192.168.1.233,38164,192.168.1.223,22,6,01/08/2025 01:13:57 PM,96427,33,1,79720.0,9.0,2896.0,1448.0,2415.757575757576,689.8274707446344,9.0,9.0,9.0,0.0,826832.733570473,352.59833863959267,2922.0303030303025,8626.11962836147,41353.0,3.0,96242.0,3007.562500000001,8749.917300761264,41353.0,3.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1056,32,342.22779926783994,10.370539371752724,9.0,2896.0,2278.228571428571,877.0027193503444,769133.7697478989,0,0,0,1,1,0,0,0,0.0,2345.235294117647,2415.757575757576,9.0,0,0,0,0,0,0,33,79720,1,9,-1,502,33,0,0,0,0,0,0,0,0,0,DDoS
192.168.1.223-192.168.1.233-22-38316-6,192.168.1.233,38316,192.168.1.223,22,6,01/08/2025 01:13:57 PM,131687,27,1,49957.0,9.0,2896.0,1081.0,1850.2592592592591,697.9673561130422,9.0,9.0,9.0,0.0,379430.0120740848,212.62539202806656,4877.296296296297,8663.857312087759,33312.0,19.0,131399.0,5053.807692307692,8785.786949473477,33312.0,19.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,864,32,205.0316280270642,7.593764001002377,9.0,2896.0,1723.2758620689656,823.298500655908,677820.4211822661,0,0,0,1,1,0,0,0,0.0,1784.821428571429,1850.25925925926,9.0,0,0,0,0,0,0,27,49957,1,9,-1,502,27,0,0,0,0,0,0,0,0,0,DDoS
192.168.1.223-192.168.1.233-22-38326-6,192.168.1.233,38326,192.168.1.223,22,6,01/08/2025 01:13:57 PM,118514,35,1,84264.0,9.0,2896.0,1448.0,2407.542857142857,687.6495492043955,9.0,9.0,9.0,0.0,711080.5474458714,303.76158091027224,3386.114285714286,7263.650515414686,29893.0,3.0,118200.0,3476.470588235294,7352.891759463175,29893.0,3.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1120,32,295.3237592183202,8.437821691952006,9.0,2896.0,2277.891891891891,865.4057103714669,748927.0435435432,0,0,0,1,1,0,0,0,0.0,2341.1666666666665,2407.542857142857,9.0,0,0,0,0,0,0,35,84264,1,9,-1,502,35,0,0,0,0,0,0,0,0,0,DDoS
192.168.1.223-192.168.1.233-22-38280-6,192.168.1.233,38280,192.168.1.223,22,6,01/08/2025 01:13:57 PM,85383,33,1,82536.0,9.0,2896.0,1448.0,2501.090909090909,654.8826404229026,9.0,9.0,9.0,0.0,966761.533326306,398.2057318201515,2587.363636363636,6346.184428547311,28091.0,12.0,85083.0,2658.84375,6434.218713928626,28091.0,12.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1056,32,386.4937985313236,11.711933288827987,9.0,2896.0,2358.685714285714,864.9233482334301,748092.3983193275,0,0,0,1,1,0,0,0,0.0,2428.058823529412,2501.090909090909,9.0,0,0,0,0,0,0,33,82536,1,9,-1,502,33,0,0,0,0,0,0,0,0,0,DDoS
192.168.1.223-192.168.1.233-22-38416-6,192.168.1.233,38416,192.168.1.223,22,6,01/08/2025 01:13:58 PM,169707,28,1,65160.0,9.0,2896.0,1448.0,2327.142857142857,720.1591240976983,9.0,9.0,9.0,0.0,384008.9094733865,170.882756751342,6060.964285714284,15634.163267433,71897.0,5.0,169471.0,6276.703703703704,15889.454371265374,71897.0,5.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,896,32,164.99024789784747,5.892508853494553,9.0,2896.0,2172.6,910.3628530085851,828760.5241379311,0,0,0,1,1,0,0,0,0.0,2247.5172413793102,2327.1428571428573,9.0,0,0,0,0,0,0,28,65160,1,9,-1,502,28,0,0,0,0,0,0,0,0,0,DDoS
