Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.223-192.168.1.233-22-45342-6,192.168.1.233,45342,192.168.1.223,22,6,01/08/2025 02:08:09 PM,139435,6,1,17376.0,2896.0,2896.0,2896.0,2896.0,0.0,2896.0,2896.0,2896.0,0.0,145386.73934091153,50.202603363574426,23239.166666666668,56547.23753258568,138665.0,25.0,139385.0,27877.0,61932.756724531486,138665.0,25.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,192,32,43.03080288306379,7.171800480510632,2896.0,2896.0,2896.0,0.0,0.0,0,0,0,1,1,0,0,0,0.0,3309.714285714286,2896.0,2896.0,0,0,0,0,0,0,6,17376,1,2896,-1,502,6,0,0,0,0,0,0,0,0,0,DDoS
192.168.1.223-192.168.1.233-22-44482-6,192.168.1.233,44482,192.168.1.223,22,6,01/08/2025 02:09:22 PM,799101,17,1,41992.0,9.0,2896.0,1448.0,2470.117647058823,680.0795801184724,9.0,9.0,9.0,0.0,52560.31465359198,22.5253128202818,47005.9411764706,192338.24276891435,793383.0,10.0,798740.0,49921.24999999999,198257.7882719029,793383.0,10.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,544,32,21.27390655248836,1.251406267793433,9.0,2896.0,2211.052631578947,1006.6212171685044,1013286.2748538014,0,0,0,1,1,0,0,0,0.0,2333.8888888888887,2470.1176470588234,9.0,0,0,0,0,0,0,17,41992,1,9,-1,502,17,0,0,0,0,0,0,0,0,0,DDoS
192.168.1.223-192.168.1.233-22-34804-6,192.168.1.233,34804,192.168.1.223,22,6,01/08/2025 02:09:16 PM,100,1,1,2896.0,2896.0,2896.0,2896.0,2896.0,0.0,2896.0,2896.0,2896.0,0.0,57920000.0,20000.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,32,32,10000.0,10000.0,2896.0,2896.0,2896.0,0.0,0.0,0,0,0,1,1,0,0,0,1.0,4344.0,2896.0,2896.0,0,0,0,0,0,0,1,2896,1,2896,-1,502,1,0,0,0,0,0,0,0,0,0,DDoS
192.168.1.223-192.168.1.233-22-37182-6,192.168.1.233,37182,192.168.1.223,22,6,01/08/2025 02:07:27 PM,792630,9,1,26064.0,1448.0,2896.0,2896.0,2896.0,0.0,1448.0,1448.0,1448.0,0.0,34709.763698068455,12.616226991156026,88070.0,262235.1950115583,787355.0,11.0,788515.0,98564.375,278313.5135428274,787355.0,11.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,288,32,11.354604292040424,1.2616226991156023,1448.0,2896.0,2632.727272727273,585.7448405080647,343097.01818181813,0,0,0,0,1,0,0,0,0.0,2896.0,2896.0,1448.0,0,0,0,0,0,0,9,26064,1,1448,-1,502,9,0,0,0,0,0,0,0,0,0,DDoS
192.168.1.223-192.168.1.233-22-45436-6,192.168.1.233,45436,192.168.1.223,22,6,01/08/2025 02:08:13 PM,879,9,1,26064.0,2896.0,2896.0,2896.0,2896.0,0.0,2896.0,2896.0,2896.0,0.0,32946530.147895336,11376.564277588168,97.66666666666669,79.69943538068509,267.0,12.0,867.0,108.375,77.97424025187513,267.0,15.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,288,32,10238.907849829351,1137.6564277588168,2896.0,2896.0,2896.0,0.0,0.0,0,0,0,1,1,0,0,0,0.0,3185.6,2896.0,2896.0,0,0,0,0,0,0,9,26064,1,2896,-1,502,9,0,0,0,0,0,0,0,0,0,DDoS
192.168.1.223-192.168.1.233-22-33510-6,192.168.1.233,33510,192.168.1.223,22,6,01/08/2025 02:08:58 PM,781485,15,1,30408.0,9.0,2896.0,1448.0,2027.2,734.2700165081352,9.0,9.0,9.0,0.0,38922.0522466842,20.47384146848628,52099.0,135367.9279028614,469106.0,24.0,781076.0,55791.142857142855,139691.95772834605,469106.0,24.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,480,32,19.19422637670589,1.2796150917803926,9.0,2896.0,1789.764705882353,959.6878743510676,921000.8161764704,0,0,0,1,1,0,0,0,0.0,1901.625,2027.2,9.0,0,0,0,0,0,0,15,30408,1,9,-1,502,15,0,0,0,0,0,0,0,0,0,DDoS
192.168.1.223-192.168.1.233-22-42870-6,192.168.1.233,42870,192.168.1.223,22,6,01/08/2025 02:08:15 PM,830238,4,1,8688.0,1448.0,2896.0,1448.0,2172.0,836.0031897865781,1448.0,1448.0,1448.0,0.0,12208.547428568674,6.022369489230798,207559.5,414785.6752593239,829738.0,50.0,830188.0,276729.3333333334,478919.5543515981,829738.0,203.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,32,4.817895591384639,1.2044738978461598,1448.0,2896.0,1930.6666666666663,747.7439847077787,559121.0666666668,0,0,0,0,1,0,0,0,0.0,2316.8,2172.0,1448.0,0,0,0,0,0,0,4,8688,1,1448,-1,502,4,0,0,0,0,0,0,0,0,0,DDoS
192.168.1.223-192.168.1.233-22-40966-6,192.168.1.233,40966,192.168.1.223,22,6,01/08/2025 02:07:20 PM,234805,5,1,14480.0,2896.0,2896.0,2896.0,2896.0,0.0,2896.0,2896.0,2896.0,0.0,74001.83130682907,25.55311854517578,46961.0,104846.43790563416,234516.0,33.0,234772.0,58693.0,117215.33700274322,234516.0,55.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,160,32,21.29426545431315,4.258853090862631,2896.0,2896.0,2896.0,0.0,0.0,0,0,0,1,1,0,0,0,0.0,3378.6666666666665,2896.0,2896.0,0,0,0,0,0,0,5,14480,1,2896,-1,502,5,0,0,0,0,0,0,0,0,0,DDoS
192.168.1.223-192.168.1.233-22-40920-6,192.168.1.233,40920,192.168.1.223,22,6,01/08/2025 02:07:15 PM,2034,9,1,26064.0,2896.0,2896.0,2896.0,2896.0,0.0,2896.0,2896.0,2896.0,0.0,14237954.768928222,4916.420845624386,226.00000000000003,199.0100499974813,616.0,3.0,1669.0,208.625,205.32339474246825,616.0,3.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,288,32,4424.778761061947,491.6420845624386,2896.0,2896.0,2896.0,0.0,0.0,0,0,0,1,1,0,0,0,0.0,3185.6,2896.0,2896.0,0,0,0,0,0,0,9,26064,1,2896,-1,502,9,0,0,0,0,0,0,0,0,0,DDoS
192.168.1.223-192.168.1.233-22-45330-6,192.168.1.233,45330,192.168.1.223,22,6,01/08/2025 02:08:07 PM,4145,9,1,13032.0,9.0,1448.0,1448.0,1448.0,0.0,9.0,9.0,9.0,0.0,3146200.2412545234,2412.5452352231605,460.55555555555554,123.61342070251833,618.0,325.0,3548.0,443.5,120.2960633484856,618.0,325.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,288,32,2171.2907117008444,241.254523522316,9.0,1448.0,1186.3636363636365,582.1041612507632,338845.2545454545,0,0,0,1,1,0,0,0,0.0,1305.0,1448.0,9.0,0,0,0,0,0,0,9,13032,1,9,-1,502,9,0,0,0,0,0,0,0,0,0,DDoS
