Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.223-192.168.1.233-22-60112-6,192.168.1.233,60112,192.168.1.223,22,6,01/08/2025 01:59:52 PM,183835,34,1,81496.0,9.0,2896.0,1448.0,2396.9411764705883,689.253304415045,9.0,9.0,9.0,0.0,443359.5343650556,190.38811978132568,5406.911764705884,14432.764678491294,61878.0,6.0,182209.0,5521.484848484848,14640.831700507171,61878.0,6.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1088,32,184.94845921614493,5.439660565180732,9.0,2896.0,2264.2777777777774,869.2896150999588,755664.4349206346,0,0,0,1,1,0,0,0,0.0,2328.9714285714285,2396.9411764705883,9.0,0,0,0,0,0,0,34,81496,1,9,-1,502,34,0,0,0,0,0,0,0,0,0,DDoS
192.168.1.223-192.168.1.233-22-60166-6,192.168.1.233,60166,192.168.1.223,22,6,01/08/2025 01:59:52 PM,155436,27,1,65160.0,9.0,2896.0,1448.0,2413.333333333333,695.5967001292985,9.0,9.0,9.0,0.0,419265.8071489231,180.13844926529248,5756.88888888889,13850.92954485042,49418.0,8.0,154003.0,5923.192307692308,14097.715258918322,49418.0,8.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,864,32,173.70493322010347,6.433516045189017,9.0,2896.0,2247.5172413793102,913.0894816379348,833732.4014778323,0,0,0,1,1,0,0,0,0.0,2327.785714285714,2413.333333333333,9.0,0,0,0,0,0,0,27,65160,1,9,-1,502,27,0,0,0,0,0,0,0,0,0,DDoS
192.168.1.223-192.168.1.233-22-60200-6,192.168.1.233,60200,192.168.1.223,22,6,01/08/2025 01:59:53 PM,137057,35,1,68719.0,9.0,2896.0,663.0,1963.4,739.1584324319747,9.0,9.0,9.0,0.0,501455.5987654771,262.66443888309243,3915.914285714285,9786.841725655177,46861.0,10.0,136741.0,4021.794117647059,9913.652465098432,46861.0,10.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1120,32,255.3682044696732,7.296234413419234,9.0,2896.0,1857.7567567567564,846.6026355513682,716736.0225225227,0,0,0,1,1,0,0,0,0.0,1909.361111111111,1963.4,9.0,0,0,0,0,0,0,35,68719,1,9,-1,502,35,0,0,0,0,0,0,0,0,0,DDoS
192.168.1.223-192.168.1.233-22-60302-6,192.168.1.233,60302,192.168.1.223,22,6,01/08/2025 01:59:53 PM,145482,28,1,76744.0,9.0,2896.0,1448.0,2740.857142857143,456.07713076446737,9.0,9.0,9.0,0.0,527577.2947856092,199.3373750704555,5195.785714285714,12832.690703555574,46939.0,2.0,145220.0,5378.518518518519,13039.96941764456,46939.0,2.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,896,32,192.46367248181903,6.8737025886363945,9.0,2896.0,2558.7333333333336,820.9999341985497,674040.8919540229,0,0,0,1,1,0,0,0,0.0,2646.9655172413795,2740.8571428571427,9.0,0,0,0,0,0,0,28,76744,1,9,-1,502,28,0,0,0,0,0,0,0,0,0,DDoS
192.168.1.223-192.168.1.233-22-51626-6,192.168.1.233,51626,192.168.1.223,22,6,01/08/2025 01:59:41 PM,171098,37,1,86581.0,9.0,2896.0,453.0,2340.0270270270275,750.1348207150827,9.0,9.0,9.0,0.0,506084.23242819903,222.0949397421361,4624.27027027027,10868.444383342716,36495.0,9.0,170934.0,4748.166666666665,10996.082909057077,36495.0,9.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1184,32,216.25033606471143,5.844603677424634,9.0,2896.0,2220.48717948718,896.8857485120058,804404.0458839408,0,0,0,1,1,0,0,0,0.0,2278.9210526315787,2340.027027027027,9.0,0,0,0,0,0,0,37,86581,1,9,-1,502,37,0,0,0,0,0,0,0,0,0,DDoS
192.168.1.223-192.168.1.233-22-51648-6,192.168.1.233,51648,192.168.1.223,22,6,01/08/2025 01:59:41 PM,227421,37,1,90584.0,9.0,2896.0,1448.0,2448.2162162162163,663.6397590031279,9.0,9.0,9.0,0.0,398349.3169056507,167.09098983822952,6146.513513513513,12368.963132735864,51168.0,6.0,227240.0,6312.222222222224,12502.695794133157,51168.0,6.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1184,32,162.69385852669717,4.397131311532356,9.0,2896.0,2323.1282051282046,845.1775951487534,714325.1673414302,0,0,0,1,1,0,0,0,0.0,2384.2631578947367,2448.2162162162163,9.0,0,0,0,0,0,0,37,90584,1,9,-1,502,37,0,0,0,0,0,0,0,0,0,DDoS
192.168.1.223-192.168.1.233-22-51694-6,192.168.1.233,51694,192.168.1.223,22,6,01/08/2025 01:59:41 PM,263134,38,1,91568.0,9.0,2896.0,1448.0,2409.6842105263154,682.9789322564179,9.0,9.0,9.0,0.0,348024.2005974143,148.2134577819666,6924.578947368422,13781.40319147623,56111.0,7.0,262862.0,7104.378378378377,13926.243011250685,56111.0,7.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1216,32,144.41311271063412,3.800345071332477,9.0,2896.0,2289.65,850.4790369595786,723314.5923076922,0,0,0,1,1,0,0,0,0.0,2348.358974358974,2409.684210526316,9.0,0,0,0,0,0,0,38,91568,1,9,-1,502,38,0,0,0,0,0,0,0,0,0,DDoS
192.168.1.223-192.168.1.233-22-51680-6,192.168.1.233,51680,192.168.1.223,22,6,01/08/2025 01:59:41 PM,240564,44,1,89762.0,9.0,2896.0,1448.0,2040.0454545454536,704.6155459917679,9.0,9.0,9.0,0.0,373168.8864501754,187.0604080411034,5467.363636363635,12539.951543044444,44654.0,5.0,240326.0,5588.976744186048,12662.077181373734,44654.0,5.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1408,32,182.90351008463443,4.156897956468964,9.0,2896.0,1951.739130434783,806.0928381818782,649785.6637681157,0,0,0,1,1,0,0,0,0.0,1995.111111111111,2040.0454545454545,9.0,0,0,0,0,0,0,44,89762,1,9,-1,502,44,0,0,0,0,0,0,0,0,0,DDoS
192.168.1.223-192.168.1.233-22-51734-6,192.168.1.233,51734,192.168.1.223,22,6,01/08/2025 01:59:42 PM,184466,31,1,76184.0,9.0,2896.0,1448.0,2457.548387096774,663.9403004643152,9.0,9.0,9.0,0.0,413046.3066364534,173.47370247091607,5950.516129032258,14572.88476102328,57054.0,3.0,184236.0,6141.199999999999,14782.624927654902,57054.0,3.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,992,32,168.05264926869992,5.421053202216127,9.0,2896.0,2309.1515151515146,874.7958019308033,765267.6950757573,0,0,0,1,1,0,0,0,0.0,2381.3125,2457.548387096774,9.0,0,0,0,0,0,0,31,76184,1,9,-1,502,31,0,0,0,0,0,0,0,0,0,DDoS
192.168.1.223-192.168.1.233-22-51800-6,192.168.1.233,51800,192.168.1.223,22,6,01/08/2025 01:59:42 PM,133816,30,1,73848.0,9.0,2896.0,1448.0,2461.6,674.9006363647298,9.0,9.0,9.0,0.0,551929.5151551384,231.66138578346388,4460.533333333333,13520.985553074035,58442.0,6.0,133583.0,4606.310344827585,13736.299855553349,58442.0,6.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,960,32,224.18843785496503,7.472947928498835,9.0,2896.0,2308.3124999999995,888.7799334825748,789929.7701612901,0,0,0,1,1,0,0,0,0.0,2382.774193548388,2461.6,9.0,0,0,0,0,0,0,30,73848,1,9,-1,502,30,0,0,0,0,0,0,0,0,0,DDoS
192.168.1.223-192.168.1.233-22-51874-6,192.168.1.233,51874,192.168.1.223,22,6,01/08/2025 01:59:42 PM,143516,38,1,75337.0,9.0,2896.0,1448.0,1982.5526315789475,707.0526834367082,9.0,9.0,9.0,0.0,525000.696786421,271.7467042002285,3776.7368421052633,13305.397725418768,66783.0,10.0,143343.0,3874.135135135136,13475.188725048554,66783.0,10.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1216,32,264.7788399899663,6.96786421026227,9.0,2896.0,1883.875,814.8855256241792,664038.4198717948,0,0,0,1,1,0,0,0,0.0,1932.179487179487,1982.5526315789475,9.0,0,0,0,0,0,0,38,75337,1,9,-1,502,38,0,0,0,0,0,0,0,0,0,DDoS
