Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,24/05/2025 07:02:38 PM,119711810,217,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8210400460906904,551667.3271889405,3601677.650299883,51078040.0,0.0,118688492.0,549483.7592592592,3609899.957025292,51078040.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.8126866513838529,0.008353394706838,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,217,0,1,0,-1,-1,0,0,22012805.5,2168659.0212397384,23546279.0,20479332.0,32724378.0,25955997.719611704,51078040.0,14370716.0,Benign
192.168.1.223-255.255.255.255-30303-30303-17,192.168.1.223,30303,255.255.255.255,30303,17,24/05/2025 07:02:43 PM,119740760,13,1,117.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,0.0,1.052273261001517,0.1169192512223907,9210827.692307692,5374757.417861734,21440273.0,6746894.0,112594623.0,9382885.25,5576232.145271134,21440273.0,6746894.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,104,8,0.1085678761350771,0.0083513750873136,9.0,9.0,9.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,9.642857142857142,9.0,9.0,0,0,0,0,0,0,13,117,1,9,-1,-1,13,0,0.0,0.0,0.0,0.0,9210827.692307692,5374757.417861734,21440273.0,6746894.0,Benign
192.168.1.223-192.168.1.233-22-47958-6,192.168.1.233,47958,192.168.1.223,22,6,24/05/2025 07:03:05 PM,739730,2,3,0.0,37.0,0.0,0.0,0.0,0.0,37.0,0.0,12.333333333333334,21.361959960016154,50.01824990199127,6.759222959728549,184932.5,299861.67612139654,627732.0,72.0,111926.0,111926.0,0.0,111926.0,111926.0,739624.0,369812.0,364753.9620072687,627732.0,111892.0,0,0,0,0,64,112,2.70368918389142,4.05553377583713,0.0,37.0,6.166666666666667,15.105186747162932,228.16666666666669,0,1,0,0,0,0,0,0,1.0,7.4,0.0,12.333333333333334,0,0,0,0,0,0,2,0,3,37,-1,510,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
192.168.1.223-192.168.1.233-22-47962-6,192.168.1.233,47962,192.168.1.223,22,6,24/05/2025 07:03:05 PM,821342,2,3,0.0,37.0,0.0,0.0,0.0,0.0,37.0,0.0,12.333333333333334,21.361959960016154,45.04822595216122,6.087598101643408,205335.5,295975.61446454783,627696.0,35.0,193563.0,193563.0,0.0,193563.0,193563.0,821307.0,410653.5,306944.4471113625,627696.0,193611.0,0,0,0,0,64,112,2.435039240657363,3.6525588609860447,0.0,37.0,6.166666666666667,15.105186747162932,228.16666666666669,0,1,0,0,0,0,0,0,1.0,7.4,0.0,12.333333333333334,0,0,0,0,0,0,2,0,3,37,-1,510,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
192.168.1.223-192.168.1.233-22-47972-6,192.168.1.233,47972,192.168.1.223,22,6,24/05/2025 07:03:05 PM,821149,2,3,0.0,37.0,0.0,0.0,0.0,0.0,37.0,0.0,12.333333333333334,21.361959960016154,45.05881393023677,6.089028909491456,205287.25,295861.34048613044,627482.0,56.0,193549.0,193549.0,0.0,193549.0,193549.0,821093.0,410546.5,306793.1262601886,627482.0,193611.0,0,0,0,0,64,112,2.4356115637965825,3.6534173456948738,0.0,37.0,6.166666666666667,15.105186747162932,228.16666666666669,0,1,0,0,0,0,0,0,1.0,7.4,0.0,12.333333333333334,0,0,0,0,0,0,2,0,3,37,-1,510,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
192.168.1.223-192.168.1.233-22-47974-6,192.168.1.233,47974,192.168.1.223,22,6,24/05/2025 07:03:05 PM,845764,2,3,0.0,37.0,0.0,0.0,0.0,0.0,37.0,0.0,12.333333333333334,21.361959960016154,43.74742836063015,5.911814643328399,211441.0,349136.72701393074,728609.0,28.0,116850.0,116850.0,0.0,116850.0,116850.0,845736.0,422868.0,432383.0687735125,728609.0,117127.0,0,0,0,0,64,112,2.36472585733136,3.5470887859970395,0.0,37.0,6.166666666666667,15.105186747162932,228.16666666666669,0,1,0,0,0,0,0,0,1.0,7.4,0.0,12.333333333333334,0,0,0,0,0,0,2,0,3,37,-1,510,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
192.168.1.223-192.168.1.233-22-47980-6,192.168.1.233,47980,192.168.1.223,22,6,24/05/2025 07:03:05 PM,738320,2,3,0.0,37.0,0.0,0.0,0.0,0.0,37.0,0.0,12.333333333333334,21.361959960016154,50.11377180626287,6.772131325170658,184580.0,296496.5034386297,621615.0,4.0,116642.0,116642.0,0.0,116642.0,116642.0,738316.0,369158.0,357028.1133160245,621615.0,116701.0,0,0,0,0,64,112,2.708852530068264,4.063278795102395,0.0,37.0,6.166666666666667,15.105186747162932,228.16666666666669,0,1,0,0,0,0,0,0,1.0,7.4,0.0,12.333333333333334,0,0,0,0,0,0,2,0,3,37,-1,510,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
192.168.1.223-192.168.1.233-22-47982-6,192.168.1.233,47982,192.168.1.223,22,6,24/05/2025 07:03:05 PM,738312,2,3,0.0,37.0,0.0,0.0,0.0,0.0,37.0,0.0,12.333333333333334,21.361959960016154,50.11431481541679,6.772204704786053,184578.0,296482.0472619998,621600.0,11.0,116606.0,116606.0,0.0,116606.0,116606.0,738301.0,369150.5,357017.50671430666,621600.0,116701.0,0,0,0,0,64,112,2.708881881914421,4.063322822871632,0.0,37.0,6.166666666666667,15.105186747162932,228.16666666666669,0,1,0,0,0,0,0,0,1.0,7.4,0.0,12.333333333333334,0,0,0,0,0,0,2,0,3,37,-1,510,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
192.168.1.1-239.255.255.250-36422-1900-17,192.168.1.1,36422,239.255.255.250,1900,17,24/05/2025 07:03:19 PM,60296889,28,1,11897.0,382.0,462.0,382.0,424.8928571428571,30.26223570810508,382.0,382.0,382.0,0.0,203.6423471200977,0.4809535032561962,2153460.321428572,11240960.304703947,59509791.0,0.0,60042007.0,2223778.037037038,11448815.84086494,59509791.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,224,8,0.4643688996956377,0.0165846035605584,382.0,462.0,422.0333333333333,31.16196104374617,971.0678160919545,0,0,0,0,0,0,0,0,0.0,436.5862068965517,424.8928571428572,382.0,0,0,0,0,0,0,28,11897,1,382,-1,-1,28,0,405727.0,0.0,405727.0,405727.0,59509791.0,0.0,59509791.0,59509791.0,Benign
192.168.1.204-239.255.255.250-49756-1900-17,192.168.1.204,49756,239.255.255.250,1900,17,24/05/2025 07:03:28 PM,92175097,1,1,137.0,137.0,137.0,137.0,137.0,0.0,137.0,137.0,137.0,0.0,2.972603326905097,0.0216978345029569,92175097.0,0.0,92175097.0,92175097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,0.0108489172514784,0.0108489172514784,137.0,137.0,137.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,205.5,137.0,137.0,0,0,0,0,0,0,1,137,1,137,-1,-1,1,0,0.0,0.0,0.0,0.0,92175097.0,0.0,92175097.0,92175097.0,Benign
